id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
807,2026-03-13,Paradigm Reversal,short,A-Entry,58.8,2026-03-13 14:58:16.009833,6651.64,6658.0,,6652.0,,,,0.36,BOFA-PURE,26.96,,-3,-0.75,WIN,10.0,11.2,-0.86,22,10pt,6641.64,6666.64,,,,7748192906.57,-74815519.13,1511245975.78,
810,2026-03-13,BofA Scalp,short,A-Entry,70.0,2026-03-13 15:12:15.499154,6648.29,6658.0,,6653.0,6638.29,,,4.71,BOFA-PURE,27.3,,-3,-0.38,WIN,10.0,10.95,-0.23,9,10pt,6638.29,6665.0,6665.0,6638.29,,7674120309.13,-36262171.23,1367644214.69,
811,2026-03-13,DD Exhaustion,short,A+,87.0,2026-03-13 15:23:15.855220,6636.44,6651.0,,,,,,,BOFA-PURE,27.48,,-1,-0.55,WIN,6.8,12.52,-3.04,33,target,6648.44,6648.44,,,,7697383639.23,-20172863.17,1389189647.34,
812,2026-03-13,Skew Charm,short,C,36.0,2026-03-13 15:23:19.005883,6636.44,6651.0,,,6626.44,,,,BOFA-PURE,27.48,,-1,-0.55,WIN,7.3,12.52,-3.04,33,target,6631.9199,6656.44,,,,7697383639.23,-20172863.17,1389189647.34,
813,2026-03-16,Skew Charm,short,A,70.0,2026-03-16 09:46:04.353703,6713.44,6724.5,,,6703.44,,,,BOFA-PURE,24.22,,-1,-1.65,WIN,14.5,27.01,-9.43,66,target,6694.43,6733.44,,,,7728448118.18,618570977.91,1859198369.0,
815,2026-03-16,BofA Scalp,short,A,80.0,2026-03-16 10:00:36.111261,6711.61,,,6710.0,6701.61,,,1.61,BOFA-PURE,24.21,,-3,-1.84,LOSS,-10.4,0.68,-10.76,10,stop,6701.61,6722.0,6722.0,6701.61,,7576933465.88,440177949.47,1665918385.01,
818,2026-03-16,DD Exhaustion,short,A,66.0,2026-03-16 10:25:06.177269,6719.05,6727.5,,,,,,,BOFA-PURE,23.75,,-1,-2.25,WIN,18.8,32.62,-1.01,26,target,6691.43,6731.05,,,,7906015001.18,783226192.5,2161016642.64,
819,2026-03-16,Skew Charm,short,A,70.0,2026-03-16 10:27:37.199388,6718.14,6727.5,,,6708.14,,,,BOFA-PURE,23.76,,-1,-2.35,WIN,16.9,31.71,-1.92,24,target,6694.43,6738.14,,,,7912978785.18,746533844.69,2114622099.0,
827,2026-03-16,AG Short,short,A-Entry,60.0,2026-03-16 11:34:37.703821,6714.41,6717.5,,6723.0,6699.0,6735.0,6675.0,8.59,AG-PURE,23.46,,-3,-2.4,WIN,13.2,21.43,-0.61,33,target,6697.98,6734.41,,,,7681347334.82,536984042.85,1801424429.74,
832,2026-03-16,BofA Scalp,short,A+,90.0,2026-03-16 12:11:07.588232,6700.39,6716.0,,6705.0,6690.39,,,4.61,BOFA-PURE,24.16,,-3,-1.95,WIN,10.0,10.71,1.43,10,10pt,6690.39,6717.0,6717.0,6690.39,,7341148687.15,281886726.17,1466949754.35,
